Id_review_ROBIS;sort_AMSTAR_levels;RoB_ROBIS;Q11;Q12;Q13;Q14;Q15;Q21;Q22;Q23;Q24;Q25;Q31;Q32;Q33;Q34;Q35;Q41;Q42;Q43;Q44;Q45;Q46;A. Did the interpretation of findings address all of the concerns identified in Domains 1 to 4?;B. Was the relevance of identified studies to the review's research  question appropriately considered?;C. Did the reviewers avoid emphasizing results on the basis of their  statistical significance?;Id_review_ROBIS;Id_reviews_AMSTAR;Q1_AMSTAR;Q2_AMSTAR;Q3_AMSTAR;Q4_AMSTAR;Q5_AMSTAR;Q6_AMSTAR;Q7_AMSTAR;Q8_AMSTAR;Q9_AMSTAR;Q10_AMSTAR;Q11_AMSTAR;AMSTAR_consensus_2;AMSTAR_levels_2
21;63;LOW;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;1;3;3;3;3;3;2;3;3;21;21;1;1;1;1;1;1;1;1;1;1;1;11;high_quality
154;21;HIGH;3;2;2;3;1;3;3;2;1;3;3;2;1;1;3;3;3;2;3;3;2;1;2;3;154;154;1;1;1;1;1;1;1;1;1;1;1;11;high_quality
321;32;LOW;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;3;3;3;3;321;321;1;1;1;1;1;1;1;1;1;1;1;11;high_quality
321;58;HIGH;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;3;3;3;3;0;1;1;3;3;322;322;1;1;1;1;1;1;1;1;1;1;1;11;high_quality
324;85;LOW;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;2;3;3;324;324;1;1;1;1;1;1;1;1;1;1;1;11;high_quality
19;41;LOW;2;2;1;2;1;3;3;2;1;3;3;3;1;3;3;3;3;3;3;2;3;2;3;3;19;19;1;1;1;1;0;1;1;1;1;1;1;10;high_quality
48;43;LOW;3;3;2;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;2;3;3;48;48;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
59;44;HIGH;2;2;2;1;1;3;3;0;0;3;3;0;0;2;2;2;2;2;2;3;2;1;2;2;59;59;1;1;1;1;0;1;1;1;1;1;1;10;high_quality
65;18;LOW;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;2;2;3;65;65;1;1;1;0;1;1;1;1;1;1;1;10;high_quality
83;46;LOW;3;3;3;1;0;3;3;3;1;3;3;3;1;3;3;3;3;3;0;0;3;2;3;3;83;83;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
120;47;HIGH;3;2;2;1;1;3;2;2;1;0;3;2;1;2;2;1;3;2;2;2;2;1;2;2;120;120;1;1;1;0;1;1;1;1;1;1;1;10;high_quality
144;131;HIGH;3;3;1;1;1;3;3;3;0;3;3;3;1;3;3;2;3;2;2;1;2;1;2;2;144;144;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
164;216;LOW;3;3;3;1;1;3;3;3;1;3;3;3;1;3;3;3;3;3;3;3;3;2;2;2;164;164;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
190;76;LOW;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;2;3;3;3;0;3;3;3;3;190;190;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
230;54;LOW;3;3;3;3;1;3;1;1;3;3;3;2;1;3;3;2;3;3;3;3;3;2;2;2;230;230;1;1;1;1;0;1;1;1;1;1;1;10;high_quality
273;208;LOW;3;3;3;3;1;3;3;3;2;3;3;3;1;2;3;2;3;3;3;3;3;3;3;3;273;273;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
280;82;HIGH;3;3;3;3;1;3;3;3;3;3;3;2;1;2;3;3;3;3;3;1;3;1;3;3;280;280;1;1;1;1;1;1;1;1;1;0;1;10;high_quality
6;39;HIGH;3;3;3;3;1;3;3;3;3;3;3;3;1;3;3;3;3;3;1;1;3;1;3;3;6;6;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
66;68;HIGH;2;3;3;2;2;3;1;2;2;2;3;3;2;3;3;2;3;2;2;0;2;1;2;2;66;66;1;1;1;0;1;1;1;1;1;0;1;9;high_quality
111;70;HIGH;2;2;1;2;2;3;3;1;2;3;3;2;1;3;2;2;3;2;2;3;2;2;2;1;111;111;0;1;1;1;0;1;1;1;1;1;1;9;high_quality
119;72;HIGH;2;2;1;2;1;3;3;1;2;3;3;3;1;3;3;1;2;2;2;2;2;1;1;2;119;119;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
148;132;HIGH;2;1;1;2;0;3;3;3;1;3;3;2;1;3;3;1;2;2;2;0;2;1;1;1;148;148;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
191;7;HIGH;3;3;3;3;3;3;3;3;3;3;3;3;0;2;3;2;3;3;2;1;2;1;2;2;191;191;1;1;1;1;1;0;1;1;1;1;0;9;high_quality
194;202;HIGH;3;2;1;1;1;3;1;1;1;1;1;2;0;1;1;3;3;3;2;3;1;1;1;2;194;194;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
203;107;HIGH;2;1;1;1;1;3;3;2;1;3;3;2;1;3;3;1;2;2;2;1;2;1;2;1;203;203;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
231;111;HIGH;3;3;2;2;1;3;3;1;2;1;3;2;1;1;3;2;2;2;2;2;1;1;2;2;231;231;1;0;1;1;0;1;1;1;1;1;1;9;high_quality
302;83;HIGH;3;3;3;3;3;3;3;3;2;3;3;0;0;3;3;1;2;2;3;1;3;1;2;2;302;302;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
311;10;HIGH;2;2;2;1;1;3;1;1;1;3;2;2;1;2;3;2;3;2;3;1;2;2;2;1;311;311;1;1;1;1;0;1;1;1;1;0;1;9;high_quality
317;139;LOW;3;3;3;1;1;3;2;2;1;3;3;2;1;3;3;3;3;3;3;3;3;2;2;2;317;317;1;1;1;0;1;0;1;1;1;1;1;9;high_quality
318;209;HIGH;3;3;3;2;1;3;0;1;1;3;3;3;1;3;3;1;3;3;3;3;3;1;2;2;318;318;1;1;1;0;0;1;1;1;1;1;1;9;high_quality
325;170;HIGH;3;2;2;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;1;1;2;1;3;3;325;325;1;1;1;1;1;1;1;1;0;0;1;9;high_quality
3;97;LOW;1;2;1;2;2;3;1;1;3;3;3;3;0;3;3;3;2;2;2;2;3;2;3;3;3;3;0;1;1;1;0;1;1;1;1;1;0;8;moderate_quality
9;40;HIGH;3;2;2;2;1;2;1;2;1;3;3;2;1;1;3;1;0;1;1;0;1;1;1;2;9;9;1;1;1;1;1;1;1;1;0;0;0;8;moderate_quality
51;1;HIGH;3;2;1;1;1;3;1;1;1;3;3;1;1;1;2;3;3;1;0;0;1;0;2;2;51;51;1;1;1;1;0;1;1;1;0;0;1;8;moderate_quality
55;66;HIGH;2;1;1;1;2;3;2;1;3;3;3;3;1;0;0;2;3;1;0;0;0;0;1;2;55;55;1;1;1;0;0;1;1;1;1;1;0;8;moderate_quality
74;98;HIGH;2;2;1;2;2;3;1;1;2;2;2;2;1;0;0;2;0;2;2;0;0;1;2;2;74;74;1;1;1;1;0;1;1;1;0;0;1;8;moderate_quality
113;102;HIGH;2;1;1;1;2;3;2;2;2;3;2;2;1;3;3;3;3;3;3;0;2;1;2;1;113;113;1;1;1;1;0;1;1;1;1;0;0;8;moderate_quality
115;71;HIGH;2;2;2;1;0;3;1;0;1;1;3;2;1;0;0;3;3;2;2;2;0;0;2;2;115;115;1;0;1;0;0;1;1;1;1;1;1;8;moderate_quality
146;165;HIGH;1;1;1;1;1;3;3;1;1;3;3;2;0;3;0;3;3;3;2;2;2;1;1;1;146;146;0;1;1;1;0;1;1;1;1;0;1;8;moderate_quality
176;134;HIGH;2;2;1;2;1;3;3;3;2;3;3;2;1;2;3;3;3;2;3;1;2;1;2;2;176;176;1;1;1;0;0;1;1;1;1;1;0;8;moderate_quality
240;25;HIGH;1;2;1;1;0;3;2;0;1;3;3;3;0;2;1;2;2;2;2;0;2;2;1;1;240;240;0;1;1;1;0;1;1;1;1;0;1;8;moderate_quality
268;206;HIGH;1;1;1;1;2;3;3;1;2;3;3;2;1;1;0;2;2;2;3;0;1;1;1;2;268;268;0;1;1;1;0;1;1;1;1;0;1;8;moderate_quality
309;31;HIGH;1;2;2;2;2;3;3;1;1;3;2;2;1;1;0;3;3;3;3;3;1;1;2;2;309;309;0;1;1;1;0;1;1;0;1;1;1;8;moderate_quality
314;116;HIGH;3;3;1;1;1;3;2;2;2;3;2;2;1;0;1;2;3;2;2;3;1;1;1;2;314;314;1;1;1;1;0;1;0;0;1;1;1;8;moderate_quality
10;128;HIGH;2;1;1;1;1;3;1;1;1;2;2;2;1;3;2;2;2;2;2;1;2;1;2;2;10;10;1;0;1;0;0;1;1;1;1;0;1;7;moderate_quality
18;16;HIGH;2;2;1;2;2;3;3;1;3;3;2;3;0;2;2;3;3;2;2;1;2;1;1;2;18;18;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
22;42;HIGH;1;2;1;2;1;3;1;1;1;3;3;3;2;3;2;3;3;2;3;2;3;1;2;1;22;22;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
38;17;HIGH;3;3;2;0;0;3;2;2;0;3;3;3;1;2;3;2;2;2;0;0;2;0;2;2;38;38;1;0;1;1;0;1;1;1;0;0;1;7;moderate_quality
44;65;LOW;2;2;1;1;1;3;3;3;2;2;3;3;1;3;3;3;3;3;3;3;3;2;3;3;44;44;0;0;1;0;0;1;1;1;1;1;1;7;moderate_quality
47;3;LOW;3;3;3;3;3;3;3;2;3;3;3;2;0;3;3;1;3;2;2;3;2;3;2;3;47;47;1;1;1;0;0;1;1;1;1;0;0;7;moderate_quality
58;67;LOW;2;2;1;0;0;3;3;2;0;3;3;3;1;3;3;3;2;2;3;3;3;2;3;3;58;58;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
106;100;LOW;2;2;2;1;1;3;2;3;1;3;3;3;1;3;3;3;3;3;2;0;2;2;2;2;106;106;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
108;19;LOW;2;3;2;2;1;3;3;3;3;3;3;3;2;3;3;2;3;2;3;1;3;2;2;3;108;108;0;1;1;1;0;1;1;1;1;0;0;7;moderate_quality
110;101;HIGH;1;0;0;2;2;3;3;2;2;3;3;2;1;3;3;1;2;2;2;0;2;1;1;1;110;110;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
140;183;HIGH;3;3;3;2;0;3;3;1;3;3;3;3;1;0;0;1;3;2;2;2;1;0;2;2;140;140;1;1;1;0;0;1;0;0;1;1;1;7;moderate_quality
155;75;HIGH;2;2;1;2;1;3;3;0;1;1;3;3;1;3;3;1;2;2;2;0;1;0;1;2;155;155;0;0;1;0;1;1;1;1;1;0;1;7;moderate_quality
178;49;HIGH;1;2;1;1;1;3;0;1;1;3;3;2;2;1;1;3;2;2;1;0;1;0;1;2;178;178;0;1;1;0;0;1;1;1;1;0;1;7;moderate_quality
196;106;HIGH;2;2;1;2;1;3;2;2;2;3;3;2;1;0;0;1;3;2;0;0;1;0;1;2;196;196;1;1;1;0;0;1;1;0;1;0;1;7;moderate_quality
221;53;HIGH;1;3;2;3;2;3;3;1;2;1;3;2;1;3;1;3;2;2;2;2;2;1;2;0;221;221;0;0;1;1;0;1;1;1;1;0;1;7;moderate_quality
245;166;HIGH;2;2;1;1;1;3;1;0;1;3;3;2;1;0;2;2;1;1;1;1;1;0;1;2;245;245;0;1;1;1;1;1;1;0;0;0;1;7;moderate_quality
262;113;HIGH;1;2;1;2;1;3;3;2;3;3;3;2;0;1;1;1;3;3;2;3;1;0;1;2;262;262;0;1;1;1;0;1;1;1;0;0;1;7;moderate_quality
266;114;HIGH;1;2;2;2;2;3;3;1;2;1;1;3;1;0;3;1;2;1;1;0;1;0;1;1;266;266;0;0;1;1;1;1;1;1;1;0;0;7;moderate_quality
267;184;HIGH;3;3;1;1;2;3;3;0;2;0;3;2;2;0;0;2;2;2;0;0;0;0;2;2;267;267;1;0;1;1;0;1;1;1;1;0;0;7;moderate_quality
269;207;HIGH;2;2;1;2;1;3;1;2;1;1;0;2;2;2;0;2;1;2;1;1;1;1;2;2;269;269;1;0;1;1;0;1;1;1;1;0;0;7;moderate_quality
285;9;HIGH;1;2;1;1;1;3;2;0;2;0;0;2;1;0;0;0;2;2;1;1;0;1;1;1;285;285;0;0;1;1;0;1;1;1;1;0;1;7;moderate_quality
289;29;HIGH;3;3;3;1;2;3;2;2;2;2;0;2;1;1;0;2;2;2;1;0;1;0;2;1;289;289;1;0;1;1;1;1;0;0;1;0;1;7;moderate_quality
305;168;HIGH;3;3;3;1;1;3;3;3;1;0;3;3;3;1;1;2;1;2;0;0;0;1;1;2;305;305;1;1;1;1;0;1;1;0;0;0;1;7;moderate_quality
310;169;HIGH;1;1;1;1;1;3;1;2;1;3;3;2;2;3;3;3;3;2;2;3;3;1;1;1;310;310;0;1;1;0;0;1;1;0;1;1;1;7;moderate_quality
316;118;HIGH;3;2;1;1;2;3;1;1;2;3;2;2;1;1;2;2;3;2;2;0;2;0;2;2;316;316;1;1;1;0;0;1;1;1;1;0;0;7;moderate_quality
322;59;LOW;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;323;323;1;1;1;1;1;1;0;0;0;0;1;7;moderate_quality
42;180;HIGH;1;1;1;1;1;3;3;2;1;3;3;3;1;1;3;3;3;2;2;1;2;1;3;2;42;42;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
72;160;HIGH;2;2;1;1;2;3;3;2;2;3;3;2;1;2;2;2;1;1;0;0;2;1;1;1;72;72;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
76;99;HIGH;1;1;1;1;2;3;2;1;3;3;3;3;0;0;0;2;2;2;2;0;0;0;2;1;76;76;0;1;1;1;0;1;0;0;1;0;1;6;moderate_quality
109;182;HIGH;1;1;1;1;1;3;3;1;2;2;3;3;1;1;2;3;0;0;0;0;1;1;2;1;109;109;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
116;4;HIGH;2;2;1;2;1;2;2;1;2;0;3;2;1;1;3;3;3;2;2;0;1;1;1;1;116;116;0;0;1;1;0;1;1;1;1;0;0;6;moderate_quality
127;20;HIGH;1;2;1;1;2;3;1;1;2;3;1;0;0;3;3;0;0;1;1;0;2;0;1;2;127;127;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
160;215;HIGH;2;1;1;1;1;3;3;2;1;3;3;2;1;0;0;2;0;2;1;0;0;1;1;1;160;160;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
171;104;HIGH;3;2;1;1;1;3;3;2;1;0;0;3;2;0;0;2;2;2;0;3;1;0;2;2;171;171;1;0;1;0;0;1;1;1;0;0;1;6;moderate_quality
188;217;HIGH;0;2;1;1;1;3;3;2;1;3;3;2;1;1;1;3;0;2;0;0;0;1;1;2;188;188;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
214;80;HIGH;2;2;1;1;2;3;0;2;2;1;3;0;0;1;0;2;3;3;3;2;1;1;1;1;214;214;0;1;1;1;0;1;0;0;1;1;0;6;moderate_quality
217;110;HIGH;1;3;3;3;3;3;3;0;2;3;0;2;0;1;1;3;3;3;2;3;1;1;1;2;217;217;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
290;167;HIGH;1;3;2;2;2;3;3;1;2;3;3;0;0;0;0;0;3;3;2;2;0;0;1;2;290;290;0;1;1;1;0;1;0;0;1;0;1;6;moderate_quality
291;56;HIGH;0;2;2;1;1;3;2;2;1;3;3;2;1;0;0;3;0;2;0;0;0;0;1;1;291;291;1;1;1;1;0;1;0;1;0;0;0;6;moderate_quality
308;115;HIGH;0;1;1;1;1;3;3;2;1;1;0;2;1;1;1;3;1;2;0;0;1;1;2;2;308;308;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
26;64;HIGH;1;2;1;1;0;3;3;1;1;3;3;0;0;0;0;3;2;3;3;3;0;1;2;2;26;26;1;1;1;0;0;0;0;0;1;1;0;5;moderate_quality
62;181;HIGH;1;2;1;2;2;0;0;0;0;0;0;2;1;1;0;2;2;2;2;2;1;1;1;1;62;62;0;0;0;0;0;1;1;1;1;0;1;5;moderate_quality
64;45;HIGH;1;1;1;1;1;3;0;1;1;3;3;0;0;1;1;2;2;2;2;1;1;1;1;2;64;64;0;1;1;0;0;0;1;1;1;0;0;5;moderate_quality
73;161;HIGH;1;1;1;2;2;3;3;2;2;3;3;2;1;2;1;2;1;2;0;0;0;1;2;2;73;73;0;1;1;1;0;1;1;0;0;0;0;5;moderate_quality
75;162;LOW;2;2;1;1;2;3;1;1;2;3;3;2;1;3;2;3;3;3;2;0;2;2;3;2;75;75;0;1;1;0;0;1;1;1;0;0;0;5;moderate_quality
137;73;HIGH;1;1;1;1;1;3;1;1;1;1;0;2;1;0;0;2;0;1;0;0;0;0;0;1;137;137;0;0;1;0;0;1;1;1;0;0;1;5;moderate_quality
197;136;HIGH;1;2;1;1;1;3;0;1;1;1;2;2;1;0;0;3;3;2;2;3;0;0;1;2;197;197;0;0;1;1;0;1;0;0;1;1;0;5;moderate_quality
206;77;HIGH;2;1;1;2;1;3;0;1;1;3;0;1;1;0;0;2;2;2;2;0;0;1;1;1;206;206;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
207;51;HIGH;3;3;1;1;1;3;3;2;1;1;1;2;1;0;0;2;1;2;0;0;0;1;1;1;207;207;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
209;78;HIGH;2;1;1;0;1;3;1;1;1;3;3;1;0;0;0;2;2;1;2;0;0;0;1;2;209;209;1;1;1;0;0;1;0;0;0;0;1;5;moderate_quality
210;52;HIGH;2;2;1;2;1;3;0;1;1;3;1;2;0;0;0;2;2;1;1;0;0;0;1;1;210;210;1;1;1;0;0;1;0;0;0;0;1;5;moderate_quality
215;22;HIGH;1;2;2;2;2;2;2;1;2;2;3;2;1;3;3;3;2;2;2;0;2;1;3;2;215;215;0;0;0;1;0;1;1;1;1;0;0;5;moderate_quality
225;205;HIGH;1;2;1;1;1;3;3;2;1;1;1;2;1;2;1;2;2;2;0;0;2;1;2;2;225;225;0;0;1;1;0;1;1;1;0;0;0;5;moderate_quality
232;23;HIGH;1;1;1;2;1;3;2;1;0;3;3;2;1;0;0;2;3;2;2;0;0;0;1;2;232;232;1;1;1;0;0;0;0;0;1;0;1;5;moderate_quality
233;8;HIGH;2;1;1;2;1;3;1;1;1;3;1;0;0;0;0;2;0;1;2;0;0;0;0;2;233;233;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
235;24;HIGH;3;1;1;2;1;3;1;1;0;3;3;0;0;0;0;2;2;2;2;0;0;0;1;2;235;235;1;1;1;0;0;0;0;0;1;0;1;5;moderate_quality
284;26;HIGH;1;1;1;2;1;3;3;1;1;3;0;2;1;0;0;1;0;1;0;0;1;0;1;2;284;284;0;0;1;1;0;1;1;1;0;0;0;5;moderate_quality
288;28;HIGH;1;3;3;2;2;3;3;1;3;0;1;3;1;0;0;2;3;2;3;0;0;1;2;1;288;288;0;0;1;1;0;1;0;0;1;0;1;5;moderate_quality
294;2;HIGH;1;2;2;1;1;1;2;1;1;3;3;2;1;0;0;2;2;2;1;0;0;0;2;2;294;294;0;1;0;1;0;1;0;0;1;1;0;5;moderate_quality
312;186;HIGH;2;2;1;2;1;2;1;2;1;3;1;2;1;1;1;3;0;2;0;0;0;0;2;1;312;312;1;0;1;0;0;1;1;1;0;0;0;5;moderate_quality
319;119;HIGH;1;2;1;2;1;3;1;2;1;3;3;2;1;2;3;1;1;2;0;0;2;1;2;2;319;319;0;1;1;0;0;0;1;1;0;0;1;5;moderate_quality
32;129;HIGH;1;1;1;1;1;3;0;0;1;0;1;2;1;0;0;2;1;2;2;0;0;0;0;1;32;32;0;0;1;0;0;1;0;0;1;0;1;4;low_quality
34;179;HIGH;0;2;1;1;2;3;1;1;2;0;0;2;1;0;0;2;0;1;0;0;0;0;0;2;34;34;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
124;103;HIGH;1;2;1;1;1;3;3;2;1;0;1;2;1;0;0;3;1;1;0;0;0;0;1;1;124;124;0;0;1;0;0;1;1;1;0;0;0;4;low_quality
151;6;HIGH;1;1;1;2;1;0;2;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;2;1;151;151;0;0;0;0;0;1;1;1;0;0;1;4;low_quality
179;135;HIGH;3;1;1;2;1;3;3;2;1;3;3;2;2;0;0;2;2;1;0;0;0;1;1;2;179;179;0;1;1;0;0;1;0;0;0;0;1;4;low_quality
202;203;HIGH;3;2;1;2;1;3;3;2;1;2;3;0;0;0;0;3;3;2;1;0;0;1;2;2;202;202;1;1;1;1;0;0;0;0;0;0;0;4;low_quality
204;50;HIGH;2;2;3;1;1;1;2;1;1;1;3;2;1;1;3;2;0;1;0;0;1;1;2;2;204;204;0;0;0;0;0;1;1;1;0;0;1;4;low_quality
208;204;HIGH;1;1;1;0;0;3;1;1;1;3;3;0;0;0;0;1;0;1;0;0;0;0;0;2;208;208;0;1;1;0;0;1;0;0;0;0;1;4;low_quality
211;79;HIGH;2;0;0;2;1;3;1;1;1;3;1;2;1;0;0;0;1;1;0;0;0;0;0;2;211;211;1;0;1;0;0;1;0;0;0;0;1;4;low_quality
261;81;HIGH;1;1;1;1;1;3;3;2;1;2;1;2;1;1;1;2;2;2;0;0;0;2;1;1;261;261;0;0;1;0;0;1;1;1;0;0;0;4;low_quality
287;27;HIGH;1;2;1;2;2;3;3;2;2;3;1;2;2;1;1;3;1;2;0;0;0;1;2;2;287;287;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
306;57;HIGH;1;2;2;1;1;2;1;2;1;1;1;2;2;0;0;3;2;2;0;0;0;0;1;2;306;306;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
307;84;HIGH;0;2;2;1;1;3;1;2;1;2;1;2;1;1;1;1;0;1;0;0;0;1;2;1;307;307;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
315;117;HIGH;1;2;1;1;1;3;3;2;0;3;3;2;1;1;1;2;0;2;0;0;0;0;1;1;315;315;0;1;1;1;0;1;0;0;0;0;0;4;low_quality
320;11;HIGH;1;1;1;1;1;3;3;3;1;3;3;2;0;0;0;2;0;0;0;0;0;0;1;2;320;320;0;1;1;1;0;0;0;0;0;0;1;4;low_quality
15;178;HIGH;1;1;1;2;2;3;3;1;2;0;1;1;1;0;0;2;0;2;0;0;0;0;1;2;15;15;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
60;130;HIGH;0;1;1;0;0;3;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;60;60;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
205;108;HIGH;2;1;1;2;1;3;1;1;1;3;1;0;0;0;0;2;2;2;1;1;0;0;1;1;205;205;1;0;0;0;0;0;0;0;1;0;1;3;low_quality
213;109;HIGH;0;1;1;1;1;3;0;1;1;0;0;2;1;0;0;3;0;0;0;0;0;0;1;1;213;213;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
277;185;HIGH;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;2;1;2;0;0;0;0;0;2;277;277;0;0;0;0;1;1;1;0;0;0;0;3;low_quality
278;137;HIGH;0;1;1;1;2;0;0;0;2;0;0;1;1;0;0;2;1;1;0;0;0;0;0;2;278;278;0;0;0;0;0;1;1;1;0;0;0;3;low_quality
279;218;HIGH;0;2;0;1;1;0;2;0;1;0;0;1;1;0;0;2;1;1;0;0;0;0;0;2;279;279;0;0;0;0;0;1;1;1;0;0;0;3;low_quality
283;138;HIGH;2;1;1;1;1;2;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;283;283;0;0;1;1;0;1;0;0;0;0;0;3;low_quality
286;55;HIGH;1;2;1;2;2;3;3;1;2;1;1;2;2;3;3;2;1;2;2;0;0;1;2;2;286;286;0;0;1;1;0;0;0;0;0;0;1;3;low_quality
303;30;HIGH;1;2;1;1;1;0;0;1;1;0;0;2;2;0;0;2;0;1;0;0;0;0;1;1;303;303;1;0;0;0;0;1;0;0;0;0;1;3;low_quality
90;163;HIGH;0;0;0;1;1;2;1;1;1;1;1;2;1;0;0;2;0;1;0;0;0;0;0;2;90;90;0;0;1;0;0;1;0;0;0;0;0;2;low_quality
105;69;HIGH;0;1;1;1;0;0;0;1;0;0;0;2;1;0;0;1;2;2;0;0;0;0;0;2;105;105;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
130;48;HIGH;0;1;1;1;0;0;0;0;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;1;130;130;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
131;164;HIGH;1;2;1;2;1;3;1;2;1;0;1;2;1;0;0;2;0;2;0;0;0;0;1;2;131;131;0;0;1;0;0;1;0;0;0;0;0;2;low_quality
170;133;HIGH;0;2;1;1;0;0;0;1;1;0;0;2;1;0;0;2;0;1;0;0;0;0;1;1;170;170;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
260;112;HIGH;0;0;1;2;2;1;2;1;2;0;0;2;1;0;0;2;1;1;0;0;0;0;0;0;260;260;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
139;5;HIGH;0;1;1;1;1;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;139;139;0;0;1;0;0;0;0;0;0;0;0;1;low_quality
187;105;HIGH;0;2;1;1;1;0;0;0;2;0;0;2;1;0;0;3;2;2;0;0;0;0;0;2;187;187;0;0;0;0;0;1;0;0;0;0;0;1;low_quality
143;74;HIGH;1;2;2;1;2;3;2;2;2;2;3;2;1;1;3;2;3;2;2;2;1;1;2;2;143;143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;low_quality
